term	stem	removestop	sim	termweights	p_0.25	p_0.5	p_0.75	p_1.0	p_mean1	p_mean2	r_norm	p_norm
boolean	True	False	dice	1,1,1,1	0.0371	0.0371	0.0371	0.0371	0.0371	0.0371	0.5571	0.2595
boolean	True	False	dice	1,3,4,1	0.0371	0.0371	0.0371	0.0371	0.0371	0.0371	0.5571	0.2595
boolean	True	False	dice	1,1,1,4	0.0371	0.0371	0.0371	0.0371	0.0371	0.0371	0.5571	0.2595
boolean	True	False	overlap	1,1,1,1	0.0397	0.0397	0.0397	0.0397	0.0397	0.0397	0.4937	0.1720
boolean	True	False	overlap	1,3,4,1	0.0397	0.0397	0.0397	0.0397	0.0397	0.0397	0.4937	0.1720
boolean	True	False	overlap	1,1,1,4	0.0397	0.0397	0.0397	0.0397	0.0397	0.0397	0.4937	0.1720
boolean	True	True	cosine	1,1,1,1	0.0379	0.0379	0.0379	0.0379	0.0379	0.0379	0.6537	0.2599
boolean	True	True	cosine	1,3,4,1	0.0379	0.0379	0.0379	0.0379	0.0379	0.0379	0.6537	0.2599
boolean	True	True	cosine	1,1,1,4	0.0379	0.0379	0.0379	0.0379	0.0379	0.0379	0.6537	0.2599
boolean	True	True	jaccard	1,1,1,1	0.0376	0.0376	0.0376	0.0376	0.0376	0.0376	0.6599	0.2732
boolean	True	True	jaccard	1,3,4,1	0.0376	0.0376	0.0376	0.0376	0.0376	0.0376	0.6599	0.2732
boolean	True	True	jaccard	1,1,1,4	0.0376	0.0376	0.0376	0.0376	0.0376	0.0376	0.6599	0.2732
boolean	True	True	dice	1,1,1,1	0.0376	0.0376	0.0376	0.0376	0.0376	0.0376	0.6599	0.2732
boolean	True	True	dice	1,3,4,1	0.0376	0.0376	0.0376	0.0376	0.0376	0.0376	0.6599	0.2732
boolean	True	True	dice	1,1,1,4	0.0376	0.0376	0.0376	0.0376	0.0376	0.0376	0.6599	0.2732
boolean	True	True	overlap	1,1,1,1	0.0409	0.0409	0.0409	0.0409	0.0409	0.0409	0.6309	0.2365
boolean	True	True	overlap	1,3,4,1	0.0409	0.0409	0.0409	0.0409	0.0409	0.0409	0.6309	0.2365
boolean	True	True	overlap	1,1,1,4	0.0409	0.0409	0.0409	0.0409	0.0409	0.0409	0.6309	0.2365
